Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,tissue,treatment
SRR12316932,"10 wk old males\, 1 wk post TBI",RNA-Seq,300,5402499900,PRJNA648368,SAMN15639320,2007343278,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8818249,GSM4694616,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-26T00:00:00Z,GSM4694616,brain,SRP273432,C57BL/6,brain-right hemisphere (olfactory bulbs and cerebellum removed),No Ablation + TBI
SRR12316909,"10 wk old males\, 24 hr post TBI",RNA-Seq,300,10949742300,PRJNA648368,SAMN15639273,3568334610,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8818258,GSM4694593,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-26T00:00:00Z,GSM4694593,brain,SRP273432,C57BL/6,brain-right hemisphere (olfactory bulbs and cerebellum removed),No Ablation + Sham
SRR12316912,"10 wk old males\, 24 hr post TBI",RNA-Seq,300,11539472700,PRJNA648368,SAMN15639267,3757320511,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8818261,GSM4694596,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-26T00:00:00Z,GSM4694596,brain,SRP273432,C57BL/6,brain-right hemisphere (olfactory bulbs and cerebellum removed),No Ablation + Sham
SRR12316913,"10 wk old males\, 24 hr post TBI",RNA-Seq,300,10995338400,PRJNA648368,SAMN15639266,4747976708,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8818230,GSM4694597,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-26T00:00:00Z,GSM4694597,brain,SRP273432,C57BL/6,brain-right hemisphere (olfactory bulbs and cerebellum removed),No Ablation + TBI
SRR12316919,"10 wk old males\, 24 hr post TBI",RNA-Seq,300,9968521200,PRJNA648368,SAMN15639259,3222471299,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8818236,GSM4694603,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-26T00:00:00Z,GSM4694603,brain,SRP273432,C57BL/6,brain-right hemisphere (olfactory bulbs and cerebellum removed),Ablation + Sham
SRR12316920,"10 wk old males\, 24 hr post TBI",RNA-Seq,300,10832233200,PRJNA648368,SAMN15639258,3540903052,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8818237,GSM4694604,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-26T00:00:00Z,GSM4694604,brain,SRP273432,C57BL/6,brain-right hemisphere (olfactory bulbs and cerebellum removed),Ablation + Sham
SRR12316925,"10 wk old males\, 1 wk post TBI",RNA-Seq,300,7901581200,PRJNA648368,SAMN15639253,2939686208,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8818242,GSM4694609,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-26T00:00:00Z,GSM4694609,brain,SRP273432,C57BL/6,brain-right hemisphere (olfactory bulbs and cerebellum removed),No Ablation + Sham
SRR12316926,"10 wk old males\, 1 wk post TBI",RNA-Seq,300,7260067200,PRJNA648368,SAMN15639252,2713293998,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8818243,GSM4694610,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-26T00:00:00Z,GSM4694610,brain,SRP273432,C57BL/6,brain-right hemisphere (olfactory bulbs and cerebellum removed),No Ablation + Sham
SRR12316927,"10 wk old males\, 1 wk post TBI",RNA-Seq,300,7482317700,PRJNA648368,SAMN15639300,2788848059,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8818244,GSM4694611,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-26T00:00:00Z,GSM4694611,brain,SRP273432,C57BL/6,brain-right hemisphere (olfactory bulbs and cerebellum removed),No Ablation + Sham
SRR12316928,"10 wk old males\, 1 wk post TBI",RNA-Seq,300,6846773700,PRJNA648368,SAMN15639299,2555554736,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8818245,GSM4694612,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-07-26T00:00:00Z,GSM4694612,brain,SRP273432,C57BL/6,brain-right hemisphere (olfactory bulbs and cerebellum removed),No Ablation + Sham
